Date,Open,High,Low,Close,Volume,Adj Close
2016-03-23,41.699999,41.699999,41.500001,41.500001,200,40.921387
2016-03-24,40.869999,40.869999,40.869999,40.869999,100,40.30017
2016-03-28,40.869999,40.869999,40.869999,40.869999,0,40.30017
2016-03-29,40.869999,40.869999,40.869999,40.869999,0,40.30017
2016-03-30,41.479997999999995,41.999997,41.469999,41.999997,3700,41.414413
2016-03-31,41.999997,41.999997,41.719998,41.719998,600,41.138317
2016-04-01,41.09,41.09,41.09,41.09,100,40.517103000000006
2016-04-04,41.09,41.09,41.09,41.09,0,40.517103000000006
2016-04-05,40.5,42.029999,40.5,41.09,1700,40.517103000000006
2016-04-06,41.349998,41.999997,41.059999,41.799999,700,41.217203000000005
2016-04-07,42.089997,42.129998,41.559999,41.559999,5900,40.98055
2016-04-08,41.609999,44.350001,41.320999,44.019997,3627500,43.406249
2016-04-11,43.639998,43.679999,40.969999,41.46,4123500,40.881944
2016-04-12,41.249998,41.659999,40.229999,41.65,3638400,41.069295000000004
2016-04-13,41.329999,42.679998,41.329999,41.799999,4455500,41.217203000000005
2016-04-14,41.989998,42.859998,41.909997,42.229997,2543600,41.641206
2016-04-15,41.819997,42.049997,41.19,41.999997,2360500,41.414413
2016-04-18,41.389998,42.539998,41.389998,42.42,2559400,41.828559999999996
2016-04-19,42.549997,43.359999,42.249999,42.999998,1656100,42.400471
2016-04-20,42.859998,43.57,42.75,42.759999,2283100,42.163818
2016-04-21,46.349999,46.529999,43.99,45.73,3293800,45.09241
2016-04-22,45.479997999999995,46.179997,44.089999,45.059999,2415500,44.43175
2016-04-25,44.889998,44.899997,44.109998,44.26,2122200,43.642905999999996
2016-04-26,44.209996999999994,44.889998,43.85,43.949999,2196300,43.337227
2016-04-27,44.189999,44.209996999999994,41.749999,42.159999,1289800,41.572184
2016-04-28,42.109999,43.089998,41.839999,41.889998999999996,1455900,41.305948
2016-04-29,41.709998,41.889998999999996,40.469998,40.799997999999995,1977800,40.231144
2016-05-02,40.569998,40.82,39.879998,40.27,1463900,39.708535999999995
2016-05-03,39.419998,40.469998,39.419998,40.120001,1549900,39.560628
2016-05-04,38.849999,38.899999,37.040001000000004,37.389998,4547800,36.868689
2016-05-05,37.399997,38.169998,37.079997,37.489998,1129400,36.967294
2016-05-06,37.0,37.349998,36.27,36.379998,1356300,35.87277
2016-05-09,36.31,36.720001,35.965,36.31,1717500,35.803748
2016-05-10,36.59,37.28,36.4,36.549999,1291700,36.040401
2016-05-11,35.999999,36.118998,34.804997,35.229997999999995,1954900,34.738803999999995
2016-05-12,35.570001,35.660001,34.809999,35.189997999999996,1645900,34.699362
2016-05-13,34.970001,35.229997999999995,34.479999,34.709998999999996,1921400,34.226056
2016-05-16,34.579999,34.905,34.449998,34.539998,1707800,34.058425
2016-05-17,34.449998,34.740001,34.094999,34.47,1908700,33.989403
2016-05-18,34.33,34.399998,33.699999,34.219998,987800,33.742886
2016-05-19,33.78,34.999998,33.78,34.849999,1064800,34.364104
2016-05-20,34.89,35.649998,34.729997999999995,35.58,1060200,35.083926
